ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7361954;Air pollution and mortality: Results from a study of Santiago, Chile;Ostro, B., Sanchez, J. M., Aranda, C.  et al.;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361953;Spatial accuracy of a simplified disaggregation method for traffic emissions applied in seven mid-sized Chilean cities;OssÃ©s de Eicker, M., Zah, R., TriviÃ±o, R.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Public sector (gob, ministerio)""";"""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling"", ""concentrations""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""PM - particulate matter"", ""GHGs - greenhouse gases"", ""COx - Oxides of Carbon""";"""Not applicable""";"""Regional""";"""Only national""";"""Central zone"", ""Great North"", ""South zone"", ""Little North""";"""Traffic """
7361952;Analysis and evolution of air quality monitoring networks using combined statistical information indexes;Osses, A., Gallardo, L., Faundez, T. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling""";"""SOx - Oxides of Sulphur"", ""PM - particulate matter"", ""O3 ozone - photochemical smog"", ""COx - Oxides of Carbon""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361951;Validation of the FALL3D model for the 2008 chaitÃ©n eruption using field and satellite data;Osores, M. S., Folch, A., Collini, E.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Others not classified""";"""Satellite approach"", ""Computer Modeling""";"""Other""";"""Hours- 3 Weeks""";"""Regional""";"""Only national""";"""South zone""";"""Natural sources """
7361950;Valuing reductions in environmental pollution in a residential location context;OrtÃºzar, J. D. D., RodrÃ­guez, G. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Managment, economic, legal, social""";"""Regulatory and Legal"", ""Social and Cultural""";"""Computer Modeling""";"""Other""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Others not classified"""
7361949;Tropospheric aerosols above the thermal inversion layer of Santiago, Chile: Size distribution of elemental concentrations;Ortiz, J. L., Apablaza, N., Campos, C.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Chemical composition"", ""Physical measurements of pollutants"", ""concentrations""";"""PHYS - Physical measurements (eg radiation)"", ""HM - heavy metals""";"""Month - to 3 months""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Natural sources "", ""Traffic "", ""Industrial and commercial emissions """
7361948;Calidad del aire e incidencia de fractura osteoporÃ³tica de cadera en Chile;OrmeÃ±o Illanes, J. C., Quevedo Langenegger, E. I. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Not applicable"""
7361947;The environmental rules of economic development: Governing air pollution from smelters in chuquicamata and la oroya;Orihuela, J. C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public"", ""Other unclassified""";"""Managment, economic, legal, social""";"""Social and Cultural"", ""Regulatory and Legal""";"""Others not classified""";"""SOx - Oxides of Sulphur"", ""HM - heavy metals""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""Great North""";"""Mining"""
7361946;Context matters: The significance of non-economic conditions for income-pollution relationships in Chile and Peru;Orihuela, J. C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social""";"""Regulatory and Legal"", ""Social and Cultural"", ""Economic""";"""Others not classified"", ""concentrations""";"""SOx - Oxides of Sulphur"", ""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""Central zone""";"""Mining"", ""Traffic "", ""Industrial and commercial emissions """
7361945;Pellets derived from eucalyptus nitens residue: Physical, chemical, and thermal characterization for a clean combustion product made in Chile;Oliveira, P. E., Leal, P., Pichara, C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Technological development"", ""Laboratory""";"""Built environment and materials (buildings, constructions, polymers, etc)""";"""concentrations"", ""Chemical composition""";"""Other"", ""PHYS - Physical measurements (eg radiation)""";"""Not applicable""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"""
7361944;Estimates of black carbon and size-resolved particle number emission factors from residential wood burning based on ambient monitoring and model simulations;Olivares, G., StrÃ¶m, J., Johansson, C.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Meteorological measurements"", ""Computer Modeling"", ""concentrations"", ""Physical measurements of pollutants""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""C  - TC/EC/OC/BC - Carbon compounds"", ""PHYS - Physical measurements (eg radiation)"", ""PM - particulate matter""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"", ""Traffic """
7361943;Regional dispersion of oxidized sulfur in Central Chile;Olivares, G., Gallardo, L., Langner, J.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Public sector (gob, ministerio)"", ""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Meteorological measurements"", ""concentrations"", ""Computer Modeling""";"""SOx - Oxides of Sulphur""";"""1 Year or more""";"""Regional""";"""Only national""";"""Central zone""";"""Mining"""
7361941;Cost-effective policies to improve urban air quality in Santiago, Chile;O'Ryan, R. E. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Managment, economic, legal, social""";"""Regulatory and Legal""";"""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions """
7361940;Choosing policy instruments for controlling ozone depleting substances in a developing context: The case of Chile;O'Ryan, R., Ulloa, A., Asencio, G. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social""";"""Regulatory and Legal""";"""Others not classified""";"""Other""";"""1 Year or more""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Industrial and commercial emissions """
7361939;Comparison of net benefits of incentive-based and command and control environmental regulations: The case of Santiago, Chile;O'Ryan, R., SÃ¡nchez, J. M. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Assessment of representativeness"", ""Modeling air pollution""";"""Managment, economic, legal, social""";"""Human health"", ""Regulatory and Legal"", ""Economic""";"""Others not classified"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Power generation"", ""Industrial and commercial emissions "", ""Domestic heating / wood burning"""
7361938;A CGE framework to evaluate policy options for reducing air pollution emissions in Chile;O'Ryan, R., Miller, S., De Miguel, C. J. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""International organization""";"""Modeling air pollution""";"""Managment, economic, legal, social""";"""Economic"", ""Regulatory and Legal""";"""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Industrial and commercial emissions "", ""Power generation"""
7361937;Risk-cost analysis for the regulation of airborne toxic substances in a developing context: The case of arsenic in Chile;O'Ryan, R., DÃ­az, M. ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Air Pollutant Receptor Modeling""";"""Ambient (eg outdoor)""";"""Economic"", ""Human health""";"""Epidemiological"", ""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone"", ""Little North"", ""Great North""";"""Others not classified"""
7361936;Air pollution and mortality in latin America: The role of education;O'Neill, M. S., Bell, M. L., Ranjit, N.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health"", ""Regulatory and Legal""";"""concentrations"", ""Epidemiological""";"""PM - particulate matter""";"""1 Year or more""";"""Global""";"""International comparisons""";"""Central zone""";"""Not applicable"""
7361935;Nitrogen losses under different cattle grazing frequencies and intensities in a volcanic soil of southern Chile;NÃºÃ±ez, P. A., Demanet, R., Misselbrook, T. H.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Compliance assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations""";"""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Natural sources """
7361934;Bayesian spatiotemporal modeling for estimating short-term exposure to air pollution in Santiago de Chile;Nicolis, O., Diaz, M., Sahu, S. K.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Air Pollutant Receptor Modeling""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling""";"""PM - particulate matter""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic "", ""Industrial and commercial emissions "", ""Domestic heating / wood burning"", ""Mining"", ""Power generation"""
7361933;Lower incidence of myocardial infarction after smoke-free legislation enforcement in chile;Nazzal, C., Harris, J. E. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Assessment of representativeness""";"""Ambient (eg outdoor)"", ""Managment, economic, legal, social""";"""Human health"", ""Regulatory and Legal""";"""concentrations"", ""Epidemiological""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Others not classified"""
7361932;Secondhand tobacco smoke in public places in Latin America, 2002-2003;Navas-Acien, A., Peruga, A., Breysse, P.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Public sector (gob, ministerio)"", ""Academia (university, institute, others)"", ""International organization""";"""Exposure assessment""";"""Indoor (eg indoor, work environments)""";"""Human health""";"""concentrations""";"""Other""";"""Month - to 3 months""";"""Regional""";"""International comparisons""";"""Central zone""";"""Others not classified"""
7361931;Anxiety, locus of control and appraisal of air pollution;Navarro, P. L., Simpson-Housley, P., de Man, A. F. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological""";"""NA - Not applicable""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361930;Short-term effects of solar UV radiation and NO3- supply on the accumulation of mycosporine-like amino acids in Pyropia columbina (Bangiales, Rhodophyta) under spring ozone depletion in the sub-Antarctic region, Chile;Navarro, N. P., Mansilla, A., Figueroa, F. L.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)"", ""Laboratory""";"""Ecological  (animal, plants)""";"""Meteorological measurements""";"""AC-Anion and cations"", ""PHYS - Physical measurements (eg radiation)"", ""Biological end-point""";"""Hours- 3 Weeks""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Austral austral""";"""Not applicable"""
